CodigoArticulo|Descripcion|Departamento(Tienda)|CLIENTE/PROVEEDOR|CodigoCliente|TipoCliente|NombreCliente|CodigoSucursal|NombreSucursal|Direccion|Region|Departamento|zona|Cantidad|PrecioUnitario|Costo|Fecha
AB000084|ACQUA DI GIO GIORGIO ARMANI DAMA TOILETTE 100|Perfumeria|C|K487832|Minorista|Jescie Bolton|S38|Sucursal Elite 38|Calz. Roosevelt 14-82 C.C. Galerias Primma Local 138|Sur|Sololá|9|5|945|661.5|01/06/2017
AB000016|Pantaloneta|Ropa de niños|C|G373823|Minorista|Leilani Mercado|S23|Sucursal Elite 23|1a. Calle 2a. Av. Lt. 3A Jocotales|Norte|Baja Verapaz|9|4|50|35|01/10/2016
AB000091|AIRE LOCO LOEWE DAMA TOILETTE 100|Perfumeria|C|W344252|Minorista|Aaron Salazar|S10|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|3|831|581.7|01/05/2016
AB000013|Chumpa de lona|Ropa de caballero|C|Z499617|Minorista|Wesley England|S34|Sucursal Elite 34|14 Calle 7-14 |Sur|Santa Rosa|1|1|250|175|01/12/2016
AB000047|24 FAUBOURY HERMES DAMA TOILETTE 100|Perfumeria|C|Y371742|Minorista|Cassandra Hoover|S4|Sucursal Elite 39|Av. Elena 9-42 |Norte|Baja Verapaz|12|10|1250|875|01/05/2017
|Secadora de ropa|Electrodomesticos|C|C214716|Minorista|Zoe Walter|S41|Sucursal Elite 41|CA-9 Atlantico 32-79 C.C. Plaza San Rafael Local 10|Sur|Zacapa|3|8|2840|1988|01/02/2015
|360 CORAL PERRY ELLIS DAMA PERFUME 100|Perfumeria|C|J536193|Minorista|Glenna Waters|S39|Sucursal Elite 39|Av. Elena 9-42 |Norte|Baja Verapaz|12|9|540|378|01/12/2016
AB000018|Playera|Ropa de niños|C|Q134515|Minorista|Deirdre Mathis|S23|Sucursal Elite 23|1a. Calle 2a. Av. Lt. 3A Jocotales|Norte|Baja Verapaz|9|3|60|42|01/05/2016
AB000087|ADIDAS FLORAL DREAM ADIDAS DAMA TOILETTE 50|Perfumeria|C|E767479|Minorista|Brynn Higgins|S29|Sucursal Elite 29|15 Av. 2-61 Barrio La Parroquia|Norte|Chimaltenango|15|2|191|133.7|01/10/2016
AB000047|24 FAUBOURY HERMES DAMA TOILETTE 100|Perfumeria|C|T489744|Minorista|Rafael Hale|S22|Sucursal Elite 22|Av. Petapa 46 Calle 45-70 Local 5|Norte|Baja Verapaz|11|4|1250|875|01/04/2016
AB000031|Lavadora|Electrodomesticos|C|E216444|Minorista|Gemma Barrett|S30|Sucursal Elite 30|7a. Av. 4-97 Col. La Florida|Norte|Escuintla|11|5|3599|2519.3|01/04/2017
AB000056|360 PINK PERRY ELLIS DAMA PERFUME 100|Perfumeria|C|H455964|Minorista|Bruno Burks|S25|Sucursal Elite 25|1a. Calle 6-20 |Sur|Santa Rosa|6|6|475|332.5|01/05/2016
AB000054|360 COLLECTION PERRY ELLIS DAMA PERFUME 100|Perfumeria|C|Z299451|Minorista|Phelan Gross|S20|Sucursal Elite 20|C.C. Paseo San Juan Calz. San Juan Col. Valle del Sol Locales 103 y 119 |Sur|San Marcos|7|7|571|399.7|01/04/2016
AB000089|ADIDAS TROPICAL PASSION ADIDAS DAMA TOILETTE 50|Perfumeria|C|E683772|Minorista|Vivian Patrick|S11|Sucursal Elite 11|Lt. 236 "B" Mz. 22 Col. Maya|Sur|Suchitepéquez|11|8|191|133.7|01/03/2016
AB000080|90210 VERY SEXY 2 TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100|Perfumeria|C|R689765|Minorista|Chelsea Sutton|S25|Sucursal Elite 25|1a. Calle 6-20 |Sur|Santa Rosa|6|3|276|193.2|01/01/2016
AB000058|360 RED PERRY ELLIS DAMA PERFUME 100|Perfumeria|C|T732299|Minorista|Alfreda Hester|S14|Sucursal Elite 14|18 Calle 5-44|Sur|Zacapa|4|5|391|273.7|01/07/2015
